,arg1,arg2,relation
160,Эксперимент Паунда и Ребки,Альберт Эйнштейн,KNOWS
161,Heinrich Ebersberg,Франц Шлегельбергер,KNOWS
162,Nuremberg Court Prison,Альфред Йодль,KNOWS
163,TUI,Дитер Цетше,KNOWS
164,Лилль-Бабс,Simon Brehm,KNOWS
165,Irmgard Grube,Виктор Брак,KNOWS
166,Британская королевская семья,"Чарльз, принц Уэльский",KNOWS
167,Карл Генцкен,"Динг-Шулер, Эрвин",KNOWS
168,Eugenio Arias Herranz,Пабло Пикассо,KNOWS
169,Hippolyte Ledeganck,Karel Lodewijk Ledeganck,KNOWS
170,Бруно Крайский,Вилли Брандт,KNOWS
171,Джек Гарфайн,Сэмюэл Беккет,KNOWS
172,Thomas Whitelegge,Чарльз Дарвин,KNOWS
173,Драфт НБА 2004 года,"Ховард, Дуайт",KNOWS
174,Hermann Huber,Бертольт Брехт,KNOWS
175,Иоганн Коплениг,Никита Сергеевич Хрущёв,KNOWS
176,стоицизм,Марк Аврелий,KNOWS
177,маленькая чёрная книга Джеффри Эпштейна,Дастин Хоффман,KNOWS
178,Rebekah Mercer,Дональд Трамп,KNOWS
179,Judah ben Barzilai Albargeloni,Авраам бен-Хия,KNOWS
180,власть,Макс Вебер,KNOWS
181,Walker Keel,Жан-Люк Пикар,KNOWS
182,Британская королевская семья,Елизавета II,KNOWS
183,Hans Hartleben,"Хандлозер, Зигфрид",KNOWS
184,Villa Manzoni,Алессандро Мандзони,KNOWS
185,Отречение Вильгельма II,Вильгельм II,KNOWS
186,"Есенская, Милена",Франц Кафка,KNOWS
187,Theoris,Софокл,KNOWS
188,William Humphrey Tucker,Джон Фицджеральд Кеннеди,KNOWS
189,Council for the Republic,Льюис Льяк,KNOWS
190,Oliver Hermanus,Роланд Эммерих,KNOWS
191,Манделло-дель-Ларио,Леонардо да Винчи,KNOWS
192,"Берендес, Мерта",Ульрика Элеонора Шведская,KNOWS
193,"Нордмо Лёвберг, Осе",Юсси Бьёрлинг,KNOWS
194,Walter Kofler,Вильгельм Байгльбёк,KNOWS
195,Битва при Жаржо,Жанна д’Арк,KNOWS
196,Thomas Schwencke,Вольфганг Амадей Моцарт,KNOWS
197,Kurt Liesche,"Шефер, Конрад",KNOWS
198,Walter Meischberger,Йорг Хайдер,KNOWS
199,Tray Sonic,Дрейк,KNOWS
200,Janny Brandes-Brilleslijper,Анна Франк,KNOWS
201,Сигрид Эриксдоттер,Густав I,KNOWS
202,Banquet of Herod,Иоанн Креститель,KNOWS
203,"Флик, Фридрих",Адольф Гитлер,KNOWS
204,Paul Reutter,Enno Lolling,KNOWS
205,Karl Seefeldt,"Поль, Освальд",KNOWS
206,Bruno Casini,Франческо Петрарка,KNOWS
207,California Labor School,"Эриксон, Эрик Хомбургер",KNOWS
208,"Ганфштенгль, Эрнст",Адольф Гитлер,KNOWS
209,Дворец Петра I,Пётр I,KNOWS
210,Проклятие Текумсе,президент США,KNOWS
211,Willy Drexler,"Хандлозер, Зигфрид",KNOWS
212,Albert von Erlach,"Хандлозер, Зигфрид",KNOWS
213,Friedrich W. Kleinlein,Виктор Брак,KNOWS
214,Rudolf Merkel,Карл Генцкен,KNOWS
215,"Шиллинг, Клаус","Розе, Герхард",KNOWS
216,Шамс ад-Дин Тебризи,Джалаладдин Руми,KNOWS
217,"Gell. 1,26",Плутарх,KNOWS
218,Kurt Georg Lange,"Мруговский, Иоахим",KNOWS
219,Felix van de Loo,Пий XII,KNOWS
220,Nav Bhatia,Дрейк,KNOWS
221,экономика,Вильфредо Парето,KNOWS
222,Adolf Wittmann,Курт Бломе,KNOWS
223,Манфред Рёдер,Франц Шлегельбергер,KNOWS
224,Josef Speckbacher,Joachim Haspinger,KNOWS
225,Hans Pusch,"Зиновац, Фред",KNOWS
226,1969 NFL Draft,О. Джей Симпсон,KNOWS
227,Fort Stevens,Авраам Линкольн,KNOWS
228,Tout !,Жан-Поль Сартр,KNOWS
229,Free Britney movement,Бритни Спирс,KNOWS
230,Charles Hager,"Цирайс, Франц",KNOWS
231,Helmina von Chézy,Генрих Гейне,KNOWS
232,Ernst W. Goerner,Альберт Шпеер,KNOWS
233,"This Friday, Joe Biden Will Talk School Shootings With The Video Game Industry",Джо Байден,KNOWS
234,"Матисс, Анри",Пабло Пикассо,KNOWS
235,Институт знания о тождественности,Тулси Габбард,KNOWS
236,Karl Linder,Эрхард Мильх,KNOWS
237,Гуннар Экелёф,Нелли Закс,KNOWS
238,Sentiero del Viandante,Леонардо да Винчи,KNOWS
239,Philip baron van Pallandt,"Ховен, Вальдемар",KNOWS
240,сюрреализм,Сальвадор Дали,KNOWS
241,власть,"Гоббс, Томас",KNOWS
242,Hubertus Strughold,"Шефер, Конрад",KNOWS
243,Helmut Wüst,"Шефер, Конрад",KNOWS
244,George de Mohrenschildt,Ли Харви Освальд,KNOWS
245,Wilhelm Lühder,"Райхенов, Антон",KNOWS
246,Marta Jenisch,"Кашниц, Мария Луиза",KNOWS
247,Fritz Kemper,"Мруговский, Иоахим",KNOWS
248,Georg Ludwig Pemsel,"Лист, Вильгельм",KNOWS
249,Ховард Янг,Дуайт Дэвид Эйзенхауэр,KNOWS
250,Adriaan Lieffering,Артур Никиш,KNOWS
251,Ludwig Marenzi,Франц Шлегельбергер,KNOWS
252,Ludwig Wolters,"Мруговский, Иоахим",KNOWS
253,Franz Himmelstoss,Вильгельм Байгльбёк,KNOWS
254,Pilate washing his hands,Иисус Христос,KNOWS
255,Christel Gang,Садакити Гартманн,KNOWS
256,Elisabeth Cronström,Ульрика Элеонора Шведская,KNOWS
257,Albert Harvey,Дэвид Гетта,KNOWS
258,Karl Theodor Lesse,Вильгельм Байгльбёк,KNOWS
259,Felix Speidel,Артур Шницлер,KNOWS
260,Пол Циммерман,"Поль, Освальд",KNOWS
261,Nuremberg Court Prison,Леонардо Конти,KNOWS
262,Президентство Николя Саркози,Николя Саркози,KNOWS
263,Dr. Piyush Dholariya,Вивекананда,KNOWS
264,Ernst Wilhelm Baader,"Хандлозер, Зигфрид",KNOWS
265,Freed Weininger,Роза Ауслендер,KNOWS
266,Hannes Androsch,Бруно Крайский,KNOWS
267,Aristolaus of Macedon,Птолемей II Филадельф,KNOWS
268,Albert Römer,"Дольфус, Энгельберт",KNOWS
269,"Cum tacent, clamant",Марк Туллий Цицерон,KNOWS
270,Ida Gawell-Blumenthal,"Шёстрём, Виктор",KNOWS
271,экономика,Леон Вальрас,KNOWS
272,Sentiero di Leonardo da Vinci,Леонардо да Винчи,KNOWS
273,Stuttgart Remand Prison,Johann Reichhart,KNOWS
274,экономика,Карл Маркс,KNOWS
275,Henry H. Mize,"Поль, Освальд",KNOWS
276,Отто Ган,Лиза Мейтнер,KNOWS
277,August Aman,"Рашер, Зигмунд",KNOWS
278,Betty Callish,Сара Бернар,KNOWS
279,Sonia Aimy,Воле Шойинка,KNOWS
280,Monte San Martino,Леонардо да Винчи,KNOWS
281,Friedrich Bergold,Эрхард Мильх,KNOWS
282,Rudolf von Heuß,Карл Франц Гебхардт,KNOWS
283,Elsa Olenius,Астрид Линдгрен,KNOWS
284,National Sewerage Program,Гоф Уитлэм,KNOWS
285,Mania,Деметрий I Полиоркет,KNOWS
286,Hermann Schoetensack,Франц Шлегельбергер,KNOWS
287,Johann Stein,"Поль, Освальд",KNOWS
288,"Ментен, Питер",Макс Фридлендер,KNOWS
289,Церковная реформа Петра I,Пётр I,KNOWS
290,Мартин Буцер,Жан Кальвин,KNOWS
291,Albert Riecke,Отто Гёльдер,KNOWS
292,James M. Pendergast,Гарри Трумэн,KNOWS
293,Альфред Голд,"Кассирер, Пауль",KNOWS
294,Sentiero di Pigion (Piuro Lake Como),Леонардо да Винчи,KNOWS
295,Al-Bu Nasir,Саддам Хусейн,KNOWS
296,Diane de Joannis,Людовик XIV,KNOWS
297,Theodor Brunner,"Хандлозер, Зигфрид",KNOWS
298,2012 Major League Baseball draft,Carlos Correa,KNOWS
299,Giacomo Griziotti,Джузеппе Гарибальди,KNOWS
300,Ambrògio Mariano di S. Benedétto,Григорий XIII,KNOWS
301,Giovanni Benci,Леонардо да Винчи,KNOWS
302,"Филиппини, Франческо","Моне, Клод",KNOWS
303,Werner F. Christiansen,"Мруговский, Иоахим",KNOWS
304,Jennifer M. Lamond,"Рехингер, Карл Хайнц",KNOWS
305,Иоганн Вальтер,Мартин Лютер,KNOWS
306,Qianlong dynastic style,Цяньлун,KNOWS
307,Вильем из Мёрбеке,Фома Аквинский,KNOWS
308,Francisco Roldán,Христофор Колумб,KNOWS
309,"Диана, принцесса Уэльская",мать Тереза,KNOWS
310,Walther F. Kleffel,Виктор Брак,KNOWS
311,Кристофер Литтл,Джоан Роулинг,KNOWS
312,Claude Faux,Жан-Поль Сартр,KNOWS
313,Fritz Krantz,"Мруговский, Иоахим",KNOWS
314,Werner Strakosch,Курт Бломе,KNOWS
315,Ибрагим Кодра,Пабло Пикассо,KNOWS
316,Lorenz Schmid,Вильгельм Байгльбёк,KNOWS
317,Johanna Pohl,Гектор Берлиоз,KNOWS
318,Гедвига Элеонора Шлезвиг-Гольштейн-Готторпская,Никодемус Тессин Старший,KNOWS
319,Museon Arlaten,Фредерик Мистраль,KNOWS
320,Club 45,"Ланц, Эрвин",KNOWS
321,Horst Pelckmann,"Шефер, Конрад",KNOWS
322,Amor fati,Фридрих Ницше,KNOWS
323,Chesapeake and Ohio Canal,Джон Куинси Адамс,KNOWS
324,Вольфганг Амадей Моцарт,Йозеф Гайдн,KNOWS
325,Heinrich Bürkle de la Camp,Карл Франц Гебхардт,KNOWS
326,San Quentin Players,Сэмюэл Беккет,KNOWS
327,власть,Мишель Фуко,KNOWS
328,John J. McKendry,Патти Смит,KNOWS
329,Hans Laternser,"Лист, Вильгельм",KNOWS
330,Нелли Закс,Сельма Лагерлёф,KNOWS
331,Marc Girard,Иоанн Павел II,KNOWS
332,Paul Haumann,Роланд Фрейслер,KNOWS
333,Philipp von Feilitzsch,Мартин Лютер,KNOWS
334,George Martin Richter,Томас Манн,KNOWS
335,Luise Oertzen,"Шрёдер, Оскар",KNOWS
336,Adolf Murthum,"Мруговский, Иоахим",KNOWS
337,Wolfgang Mueller,"Хандлозер, Зигфрид",KNOWS
338,общество,"Луман, Никлас",KNOWS
339,Непорочное зачатие,Иисус Христос,KNOWS
340,Здание Национального архива США,Герберт Гувер,KNOWS
341,Второй импичмент Дональда Трампа,Дональд Трамп,KNOWS
342,Политический кризис в Израиле (2019),Биньямин Нетаньяху,KNOWS
343,Василий Васильевич Кандинский,Пауль Клее,KNOWS
344,Политический кризис в Израиле (2019),Авигдор Либерман,KNOWS
345,Ronnie Seunig,Falco,KNOWS
346,Christel Gang,Сергей Михайлович Эйзенштейн,KNOWS
347,Herman Harry Bolus,"Болус, Хэрриет Маргарет Луиза",KNOWS
348,Konrad Schmidt,"Каммлер, Ганс",KNOWS
349,Sueño,Герман Гессе,KNOWS
350,Bernardo de Sandoval y Rojas,Эль Греко,KNOWS
351,Vincent van Gogh Exposition,"Матисс, Анри",KNOWS
352,"Беккер, Лидия",Чарльз Дарвин,KNOWS
353,French sociology,Огюст Конт,KNOWS
354,Borgo Villa (Lierna Lake Como),Дитер Цетше,KNOWS
355,Erwin Schulz,"Шефер, Конрад",KNOWS
356,Robert L. Hoffman,Артуро Тосканини,KNOWS
357,1998 NFL Draft,"Мэннинг, Пейтон",KNOWS
358,Heinrich Kliewe,Курт Бломе,KNOWS
359,Johann Mylius,Иоахим Камерарий Старший,KNOWS
360,1937 Pescara Grand Prix,"Розмайер, Бернд",KNOWS
361,Giuseppe Bottelli,Алессандро Мандзони,KNOWS
362,Bianchini-Férier,"Дюфи, Рауль",KNOWS
363,Геноцид белых,"Хонзик, Герд",KNOWS
364,Феликс Линке,Карл Густав Витт,KNOWS
365,Hans Koenig,Франц Шлегельбергер,KNOWS
366,Категория:Президентство Рональда Рейгана,Рональд Рейган,KNOWS
367,Adolf Schaefer,"Поль, Освальд",KNOWS
368,Panchito Pistoles,Дональд Дак,KNOWS
369,Ernst Glöckner,Стефан Георге,KNOWS
370,Richard Ansorge,"Поль, Освальд",KNOWS
371,Joe Biden On Video Game Violence: 'We Shouldn't Be Afraid of the Facts',Джо Байден,KNOWS
372,Sarah Eliza Sigourney Tuckerman,Эмили Дикинсон,KNOWS
373,figure skating at the 1928 Winter Olympics – pairs,Хайнрих Бургер,KNOWS
374,Maximilian Georg Hattingen,Роланд Фрейслер,KNOWS
375,Лола Омолола,Марк Цукерберг,KNOWS
376,Frank G Quade,Ingrid Steeger,KNOWS
377,Томаш Гарриг Масарик,Эдмунд Густав Альбрехт Гуссерль,KNOWS
378,Batjac Productions,Джон Уэйн,KNOWS
379,Werner Grussendorf,Франц Шлегельбергер,KNOWS
380,Adelaide Brooke,Доктор,KNOWS
381,Otto Haslreiter,Виктор Брак,KNOWS
382,François Vidal,Фредерик Мистраль,KNOWS
383,La muerte por García Márquez y Julio Torri,Габриель Гарсиа Маркес,KNOWS
384,Williams family,Серена Уильямс,KNOWS
385,Otto Bestle,"Поль, Освальд",KNOWS
386,Helen Hunt Jackson,Эмили Дикинсон,KNOWS
387,маленькая чёрная книга Джеффри Эпштейна,Майкл Блумберг,KNOWS
388,Энди Роддик,Роджер Федерер,KNOWS
389,Benjamín Coronado Córdova,Эрнесто Че Гевара,KNOWS
390,Berlín,Христиан Моргенштерн,KNOWS
391,Hans Orthner,Вильгельм Байгльбёк,KNOWS
392,"Мури, Франц",Николае Чаушеску,KNOWS
393,Gaming Industry Had a 'Productive and Candid' Chat With Joe Biden,Джо Байден,KNOWS
394,Erwin Filling,"Мруговский, Иоахим",KNOWS
395,Norse Atlantic Airways,Bjørn Kjos,KNOWS
396,Карло Биотти,Эрнест Хемингуэй,KNOWS
397,Gerhard Klinnert,"Ховен, Вальдемар",KNOWS
398,Bernard Laméris,Беатрикс,KNOWS
399,"Петцнер, Штефан",Йорг Хайдер,KNOWS
400,Josef Koestler,Карл Франц Гебхардт,KNOWS
401,Ulla Tillander,"Фельдин, Турбьёрн",KNOWS
402,Friedrich Ernst Jaekel,Филипп Боулер,KNOWS
403,"Рольф, Филиппа",Владимир Владимирович Набоков,KNOWS
404,Johann S. Fischer,"Поль, Освальд",KNOWS
405,Gisela Fritze,Карл Франц Гебхардт,KNOWS
406,Anton Wessel,"Мруговский, Иоахим",KNOWS
407,Carl Friedrich Mossdorf,Карл Франц Гебхардт,KNOWS
408,Kurt Scharlau,"Мруговский, Иоахим",KNOWS
409,Albert Goderbauer,Виктор Брак,KNOWS
410,Bernhard Georgii,Виктор Брак,KNOWS
411,Heinrich Hoepker,"Поль, Освальд",KNOWS
412,"Тённис, Вильгельм","Шрёдер, Оскар",KNOWS
413,August Meine,Генрих Гиммлер,KNOWS
414,Elise Malmros,Сельма Лагерлёф,KNOWS
415,Макс Мейер,"Шрёдер, Оскар",KNOWS
416,Mary Breuer,Вильгельм Байгльбёк,KNOWS
417,Hubertus Strughold,"Шрёдер, Оскар",KNOWS
418,Ruth Paine,Ли Харви Освальд,KNOWS
419,Kurt Scharlau,"Динг-Шулер, Эрвин",KNOWS
420,"Кертбени, Карл Мария","Ульрихс, Карл Генрих",KNOWS
421,Heinrich Martius,Курт Бломе,KNOWS
422,Anna Charlotta Schröderheim,Густав III,KNOWS
423,Alfred Stroß,Роберт Гамерлинг,KNOWS
424,Bengt Holmqvist,Нелли Закс,KNOWS
425,Albert Buerklin,Виктор Брак,KNOWS
426,Maria Sandel,Карл Ялмар Брантинг,KNOWS
427,Erich Lehmann,"Шефер, Конрад",KNOWS
428,Josef Weisgerber,Вольфрам Зиверс,KNOWS
429,Hagnon Teius,Александр Македонский,KNOWS
430,Ferdinand Römhild,"Ховен, Вальдемар",KNOWS
431,Гран-при Австралии 2016 года,Даниэль Риккардо,KNOWS
